ID::585337208468447232	Text::CNN: White House unveils new Obama family portrait http://t.co/HlDoJovYyK	Time::2015-04-07 12:04:00 AM	Lattitude::40.029843	Longitude::-75.053801
ID::585337393391239168	Text::Obama has a good idea but I think it's a little too hard	Time::2015-04-07 12:04:44 AM	Lattitude::30.235322	Longitude::-85.643135
ID::585337422201749504	Text::Singapore’s Lee Hsien Loong is highest paid world leader Obama in 2nd place http://t.co/Ju0lVkVycu via @spotnewsapp	Time::2015-04-07 12:04:51 AM	Lattitude::1.558293	Longitude::110.352953
ID::585338653121110016	Text::who died and made you president Obama	Time::2015-04-07 12:09:44 AM	Lattitude::39.964802	Longitude::-86.023164
ID::585339875320180737	Text::Obama means nobody gets left behind......Oh wait I meant ohana......Just kidding I did that on purpose...... - @Rhiaaaaaaaannon	Time::2015-04-07 12:14:36 AM	Lattitude::33.133549	Longitude::-117.156719
ID::585340282851332098	Text::Mrs. Obama dancing to the beat of Uptown Funk song. 😁	Time::2015-04-07 12:16:13 AM	Lattitude::30.405684	Longitude::-97.744103
ID::585342392959512576	Text::Hello i'm haley [Croud echos  hello haley ] And i just googled 'can obama juggle' [Accepting applause as i take my seat again]	Time::2015-04-07 12:24:36 AM	Lattitude::50.655856	Longitude::-120.401788
ID::585343740396601344	Text::3rd day here. Thank you Obama. (@ NewDay Cafe Restaurant in Kocaeli) https://t.co/Qxb41T58Rj	Time::2015-04-07 12:29:57 AM	Lattitude::40.822608	Longitude::29.92869
ID::585343907136811008	Text::Obama presents climate change as hazard to your health http://t.co/lrkRfjPHS6	Time::2015-04-07 12:30:37 AM	Lattitude::48.147586	Longitude::11.58562
ID::585345938249687040	Text::Iran and the Obama Doctrine http://t.co/tsZHBSCEdp	Time::2015-04-07 12:38:41 AM	Lattitude::52.356617	Longitude::4.992057
ID::585347600808685569	Text::I love Obama because he is good for America maybe not for	Time::2015-04-07 12:45:17 AM	Lattitude::31.899433	Longitude::35.008843
ID::585348146970107905	Text::@NCAA @MittRomney picked #Duke to win #Obama picked #Kentucky!!!!  under Romney we would be WINNERS under O we're BIG LOSERS :/ #TCOT	Time::2015-04-07 12:47:28 AM	Lattitude::39.186972	Longitude::-84.370575
ID::585348300359901184	Text::Michelle Obama Sarah Jessica Parker and Kerry Washington glow on the cover of Glamour Magazine. http://t.co/bgAgkNml6o via @radarngr	Time::2015-04-07 12:48:04 AM	Lattitude::5.014251	Longitude::6.950715
ID::585348567725772800	Text::Obama presents climate change as hazard to your health: President Barack Obama will ask Americans to think of… http://t.co/CRHwJZnmV5	Time::2015-04-07 12:49:08 AM	Lattitude::41.888046	Longitude::-87.626267
